Round,Player,Position,Team,Drafted_by_Round_%,Times_Drafted,First_Round,Last_Round,Variance
8,Justin Jefferson,WR,MIN,100.0,8,1,2,1
8,Ashton Jeanty,RB,LV,100.0,8,1,2,1
8,A.J. Brown,WR,NE,100.0,8,1,2,1
8,Drake London,WR,ATL,100.0,8,1,2,1
8,Derrick Henry,RB,BAL,100.0,8,1,3,2
8,Chase Brown,RB,CIN,100.0,8,1,3,2
8,Nico Collins,WR,HOU,100.0,8,2,3,1
8,Rashee Rice,WR,KC,100.0,8,2,3,1
8,Chris Olave,WR,NO,100.0,8,2,3,1
9,Jahmyr Gibbs,RB,DET,100.0,8,1,1,0
9,Ja'Marr Chase,WR,CIN,100.0,8,1,1,0
9,Bijan Robinson,RB,ATL,100.0,8,1,1,0
9,Puka Nacua,WR,LAR,100.0,8,1,1,0
9,Christian McCaffrey,RB,SF,100.0,8,1,1,0
9,Jonathan Taylor,RB,IND,100.0,8,1,1,0
9,Amon-Ra St. Brown,WR,DET,100.0,8,1,1,0
9,Jaxon Smith-Njigba,WR,SEA,100.0,8,1,1,0
9,James Cook III,RB,BUF,100.0,8,1,2,1
9,CeeDee Lamb,WR,DAL,100.0,8,1,2,1
9,De'Von Achane,RB,MIA,100.0,8,1,2,1
9,Justin Jefferson,WR,MIN,100.0,8,1,2,1
9,Ashton Jeanty,RB,LV,100.0,8,1,2,1
9,A.J. Brown,WR,NE,100.0,8,1,2,1
9,Drake London,WR,ATL,100.0,8,1,2,1
9,Derrick Henry,RB,BAL,100.0,8,1,3,2
9,Chase Brown,RB,CIN,100.0,8,1,3,2
9,Nico Collins,WR,HOU,100.0,8,2,3,1
9,Rashee Rice,WR,KC,100.0,8,2,3,1
9,Chris Olave,WR,NO,100.0,8,2,3,1
10,Jahmyr Gibbs,RB,DET,100.0,8,1,1,0
10,Ja'Marr Chase,WR,CIN,100.0,8,1,1,0
10,Bijan Robinson,RB,ATL,100.0,8,1,1,0
10,Puka Nacua,WR,LAR,100.0,8,1,1,0
10,Christian McCaffrey,RB,SF,100.0,8,1,1,0
10,Jonathan Taylor,RB,IND,100.0,8,1,1,0
10,Amon-Ra St. Brown,WR,DET,100.0,8,1,1,0
10,Jaxon Smith-Njigba,WR,SEA,100.0,8,1,1,0
10,James Cook III,RB,BUF,100.0,8,1,2,1
10,CeeDee Lamb,WR,DAL,100.0,8,1,2,1
10,De'Von Achane,RB,MIA,100.0,8,1,2,1
10,Justin Jefferson,WR,MIN,100.0,8,1,2,1
10,Ashton Jeanty,RB,LV,100.0,8,1,2,1
10,A.J. Brown,WR,NE,100.0,8,1,2,1
10,Drake London,WR,ATL,100.0,8,1,2,1
10,Derrick Henry,RB,BAL,100.0,8,1,3,2
10,Chase Brown,RB,CIN,100.0,8,1,3,2
10,Nico Collins,WR,HOU,100.0,8,2,3,1
10,Rashee Rice,WR,KC,100.0,8,2,3,1
10,Chris Olave,WR,NO,100.0,8,2,3,1
11,Jahmyr Gibbs,RB,DET,100.0,8,1,1,0
11,Ja'Marr Chase,WR,CIN,100.0,8,1,1,0
11,Bijan Robinson,RB,ATL,100.0,8,1,1,0
11,Puka Nacua,WR,LAR,100.0,8,1,1,0
11,Christian McCaffrey,RB,SF,100.0,8,1,1,0
11,Jonathan Taylor,RB,IND,100.0,8,1,1,0
11,Amon-Ra St. Brown,WR,DET,100.0,8,1,1,0
11,Jaxon Smith-Njigba,WR,SEA,100.0,8,1,1,0
11,James Cook III,RB,BUF,100.0,8,1,2,1
11,CeeDee Lamb,WR,DAL,100.0,8,1,2,1
11,De'Von Achane,RB,MIA,100.0,8,1,2,1
11,Justin Jefferson,WR,MIN,100.0,8,1,2,1
11,Ashton Jeanty,RB,LV,100.0,8,1,2,1
11,A.J. Brown,WR,NE,100.0,8,1,2,1
11,Drake London,WR,ATL,100.0,8,1,2,1
11,Derrick Henry,RB,BAL,100.0,8,1,3,2
11,Chase Brown,RB,CIN,100.0,8,1,3,2
11,Nico Collins,WR,HOU,100.0,8,2,3,1
11,Rashee Rice,WR,KC,100.0,8,2,3,1
11,Chris Olave,WR,NO,100.0,8,2,3,1
12,Jahmyr Gibbs,RB,DET,100.0,8,1,1,0
12,Ja'Marr Chase,WR,CIN,100.0,8,1,1,0
12,Bijan Robinson,RB,ATL,100.0,8,1,1,0
12,Puka Nacua,WR,LAR,100.0,8,1,1,0
12,Christian McCaffrey,RB,SF,100.0,8,1,1,0
12,Jonathan Taylor,RB,IND,100.0,8,1,1,0
12,Amon-Ra St. Brown,WR,DET,100.0,8,1,1,0
12,Jaxon Smith-Njigba,WR,SEA,100.0,8,1,1,0
12,James Cook III,RB,BUF,100.0,8,1,2,1
12,CeeDee Lamb,WR,DAL,100.0,8,1,2,1
12,De'Von Achane,RB,MIA,100.0,8,1,2,1
12,Justin Jefferson,WR,MIN,100.0,8,1,2,1
12,Ashton Jeanty,RB,LV,100.0,8,1,2,1
12,A.J. Brown,WR,NE,100.0,8,1,2,1
12,Drake London,WR,ATL,100.0,8,1,2,1
12,Derrick Henry,RB,BAL,100.0,8,1,3,2
12,Chase Brown,RB,CIN,100.0,8,1,3,2
12,Nico Collins,WR,HOU,100.0,8,2,3,1
12,Rashee Rice,WR,KC,100.0,8,2,3,1
12,Chris Olave,WR,NO,100.0,8,2,3,1
13,Jahmyr Gibbs,RB,DET,100.0,8,1,1,0
13,Ja'Marr Chase,WR,CIN,100.0,8,1,1,0
13,Bijan Robinson,RB,ATL,100.0,8,1,1,0
13,Puka Nacua,WR,LAR,100.0,8,1,1,0
13,Christian McCaffrey,RB,SF,100.0,8,1,1,0
13,Jonathan Taylor,RB,IND,100.0,8,1,1,0
13,Amon-Ra St. Brown,WR,DET,100.0,8,1,1,0
13,Jaxon Smith-Njigba,WR,SEA,100.0,8,1,1,0
13,James Cook III,RB,BUF,100.0,8,1,2,1
13,CeeDee Lamb,WR,DAL,100.0,8,1,2,1
13,De'Von Achane,RB,MIA,100.0,8,1,2,1
13,Justin Jefferson,WR,MIN,100.0,8,1,2,1
13,Ashton Jeanty,RB,LV,100.0,8,1,2,1
13,A.J. Brown,WR,NE,100.0,8,1,2,1
13,Drake London,WR,ATL,100.0,8,1,2,1
13,Derrick Henry,RB,BAL,100.0,8,1,3,2
13,Chase Brown,RB,CIN,100.0,8,1,3,2
13,Nico Collins,WR,HOU,100.0,8,2,3,1
13,Rashee Rice,WR,KC,100.0,8,2,3,1
13,Chris Olave,WR,NO,100.0,8,2,3,1
14,Jahmyr Gibbs,RB,DET,100.0,8,1,1,0
14,Ja'Marr Chase,WR,CIN,100.0,8,1,1,0
14,Bijan Robinson,RB,ATL,100.0,8,1,1,0
14,Puka Nacua,WR,LAR,100.0,8,1,1,0
14,Christian McCaffrey,RB,SF,100.0,8,1,1,0
14,Jonathan Taylor,RB,IND,100.0,8,1,1,0
14,Amon-Ra St. Brown,WR,DET,100.0,8,1,1,0
14,Jaxon Smith-Njigba,WR,SEA,100.0,8,1,1,0
14,James Cook III,RB,BUF,100.0,8,1,2,1
14,CeeDee Lamb,WR,DAL,100.0,8,1,2,1
14,De'Von Achane,RB,MIA,100.0,8,1,2,1
14,Justin Jefferson,WR,MIN,100.0,8,1,2,1
